[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Eagerly caching bean 'org.springframework.context.event.internalEventListenerFactory' to allow for resolving potential circular references (AbstractAutowireCapableBeanFactory.java:592)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Finished creating instance of bean 'org.springframework.context.event.internalEventListenerFactory' (AbstractAutowireCapableBeanFactory.java:526)
[main] DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' (DefaultSingletonBeanRegistry.java:225)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' (AbstractAutowireCapableBeanFactory.java:489)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references (AbstractAutowireCapableBeanFactory.java:592)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' (AbstractAutowireCapableBeanFactory.java:526)
[main] DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator' (DefaultSingletonBeanRegistry.java:225)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating instance of bean 'org.springframework.aop.config.internalAutoProxyCreator' (AbstractAutowireCapableBeanFactory.java:489)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Eagerly caching bean 'org.springframework.aop.config.internalAutoProxyCreator' to allow for resolving potential circular references (AbstractAutowireCapableBeanFactory.java:592)
[main] TRACE | org.springframework.core.io.support.SpringFactoriesLoader    | Loaded [org.springframework.beans.BeanInfoFactory] names: [org.springframework.beans.ExtendedBeanInfoFactory] (SpringFactoriesLoader.java:103)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Getting BeanInfo for class [org.springframework.aop.aspectj.annotation.AnnotationAwareAspectJAutoProxyCreator] (CachedIntrospectionResults.java:275)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Caching PropertyDescriptors for class [org.springframework.aop.aspectj.annotation.AnnotationAwareAspectJAutoProxyCreator] (CachedIntrospectionResults.java:280)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'advisorAdapterRegistry' of type [org.springframework.aop.framework.adapter.AdvisorAdapterRegistry] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'applyCommonInterceptorsFirst' of type [boolean] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'aspectJAdvisorFactory' of type [org.springframework.aop.aspectj.annotation.AspectJAdvisorFactory] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'beanClassLoader' of type [java.lang.ClassLoader] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'beanFactory' of type [org.springframework.beans.factory.BeanFactory] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'class' of type [java.lang.Class] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'customTargetSourceCreators' of type [[Lorg.springframework.aop.framework.autoproxy.TargetSourceCreator;] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'exposeProxy' of type [boolean] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'frozen' of type [boolean] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'includePatterns' of type [java.util.List] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'interceptorNames' of type [[Ljava.lang.String;] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'opaque' of type [boolean] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'optimize' of type [boolean] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'order' of type [int] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'proxyClassLoader' of type [java.lang.ClassLoader] (CachedIntrospectionResults.java:295)
[main] TRACE | org.springframework.beans.CachedIntrospectionResults         | Found bean property 'proxyTargetClass' of type [boolean] (CachedIntrospectionResults.java:295)
